state,longitude,latitude
aguascalientes,21.8853,-102.2916
baja-california,32.6245,-115.4523
baja-california-sur,24.1426,-110.3128
campeche,19.8301,-90.5349
chihuahua,28.633,-106.0691
chiapas,16.7516,-93.103
coahuila-de-zaragoza,25.4383,-100.9737
colima,19.1223,-104.0072
durango,24.0277,-104.6532
guanajuato,21.019,-101.2574
guerrero,17.5515,-99.5006
hidalgo,20.1011,-98.7591
jalisco,20.6597,-103.3496
estado-de-mexico,19.2826,-99.6557
michoacan-de-ocampo,19.706,-101.195
morelos,18.9242,-99.2216
nayarit,21.5042,-104.8946
nuevo-leon,25.6866,-100.3161
oaxaca,17.0732,-96.7266
puebla,19.0414,-98.2063
queretaro,19.8091,-100.8875
quintana-roo,18.5002,-88.2961
san-luis-potosi,22.1566,-100.9855
sinaloa,24.8091,-107.394
sonora,29.073,-110.9559
tabasco,17.9895,-92.9475
tamaulipas,23.7369,-99.1411
tlaxcala,19.3182,-98.2375
veracruz,19.5438,-96.9102
yucatan,20.9674,-89.5926
zacatecas,22.7709,-102.5832
ciudad-de-mexico,19.4326,-99.1332
